,Date,Startup,Industry,Location,Investor,Type,Amount
76,07-08-2020,FreshToHome,E-commerce,Bangalore,Ascent Capital,Venture ,"1,62,00,000"
77,13-08-2020,Eduvanz,FinTech,Mumbai,"Sequoia India, Unitus",Series A,"50,00,000"
78,03-08-2020,CrowdPouch,FinTech,Bangalore,Elina Investments Pvt. Ltd,Angel,NA
79,04-08-2020,DrinkPrime,Water Purification,Bangalore,"Sequoia Surge, ON Mauritius",Pre-Series A,"28,80,000"
80,15-07-2020,Flipkart,E-commerce,Bangalore,"Walmart Inc
",M&A,"1,20,00,00,000"
81,16-07-2020,Vedantu,EduTech,Bangalore,Coatue Management,Series D,"100,000,000
"
82,16-07-2020,Crio,EduTech,Bangalore,021 Capital,pre-Series A,"9,34,160"
83,14-07-2020,goDutch,FinTech,Mumbai,"Matrix India,Y Combinator, Global Founders Capital, Soma Capital, and VentureSouq.",Seed,"17,00,000"
84,13-07-2020,"Mystifly
",Airfare Marketplace,Singapore and Bangalore,"Recruit Co. Ltd.

",pre-Series B,"33,00,000"
85,09-07-2020,JetSynthesys,Gaming and Entertainment,Pune,"Adar Poonawalla and Kris Gopalakrishnan.
",Venture-Series Unknown,"4,00,000"
86,10-07-2020,"gigIndia
",Marketplace,Pune,Incubate Fund India and Beyond Next Ventures,pre-Series A,"9,74,200"
87,15-07-2020,PumPumPum,Automotive Rental,Gurgaon,Early Adapters Syndicate,Seed,"2,92,800"
88,14-07-2020,FLYX,OTT Player,New York and Delhi,"Raj Mishra, founder of AIT Global Inc",pre-Seed,"2,00,000"
89,13-07-2020,Open Appliances Pvt. Ltd.,Information Technology,Bangalore,Unicorn India Ventures,Venture-Series Unknown,"5,00,000"
90,18-06-2020,Drishti Technologies,Technology,Mumbai,"Sozo Ventures
",Series B,"2,50,00,000"
91,17-06-2020,Stellaps,AgriTech,Bangalore,"Stride Ventures
",Debt Financing,"NA
"
92,17-06-2020,"Peppermint
",Industrial Robotics,Mumbai,Venture Catalysts and Naveen Kshatriya,Seed,NA
93,16-06-2020,Jai Kisan,Rural FinTech,Mumbai,Arkam Ventures and NABVENTURES Fund I,Pre-Series A,"39,34,941"
94,16-06-2020,"Biomoneta
",BioTech,Bangalore,"Beyond Next Ventures, ArthaVida Ventures and Dr. Aniruddha Malpani
",Seed,NA
95,15-06-2020,Sai Estate Management and Skills Institute,EdTech,Mumbai,"Suniel Shetty
",Angel,NA
96,15-06-2020,"LetsTransport

",Logistics Solution Provider,Bangalore,Stride Ventures,Venture - Series Unknown,"13,11,647"
97,10-06-2020,WayCool Foods,AgriTech,Chennai,Indusland Bank,Series C,"55,00,000"
98,11-06-2020,Myelin Foundry,Deep Tech AI,Bangalore,"Kris Gopalakrishnan’s family office — Pratithi.
",Seed,"10,00,000"
99,10-06-2020,Hapramp,"Block Chain, Cryptocurrency",Gurugram,Anand Mahindra,Seed,"10,00,000"
100,21-05-2020,leap.club,Professional Network for Women,Gurugram,"Whiteboard Capital (Sandeep Tandon’s VC fund), FirstCheque, Artha India Ventures, Sweta Rau (Founder, White Ventures), Amrish Rau (CEO Pinelabs, Founder Citrus Pay), Deepak Abbot (Former SVP, Paytm), and Harpreet Singh Grover (Co-founder, Co-Cubes) and others.
",Pre Seed,"3,40,000"
101,20-05-2020,Tring,Advertising,Mumbai,"Tencent, Ark Impact, KoKalyan Krishnamurthy of Flipkart, Sujeet Kumar of Udaan, Gaurav Munjal of Unacademy, Keshav Sanghi of VentureWorks India, Roman Saini of Unacademy, Hemesh Singh of Unacademy, and Sumit Jain of Opentalk amongst others. 
",Angel,"NA
"
102,20-05-2020,"Khatabook
",Utility Solutions Provider,Bangalore,"B Capital Group, Sequoia India, Partners of DST Global, Tencent, GGV, RTP Global, Hummingbird Ventures, Falcon Edge Capital, Rocketship.vc, Unilever Ventures, Kevin Weil, Alexander Will, Kunal Shah, Kunal Bahl, and Rohit Bansal


",Series B,"6,00,00,000"
103,19-05-2020,Vakilsearch,LegalTech,Chennai,"Udaan co-founder, Sujeet Kumar",Series A,NA
104,19-05-2020,"Lendingkart
",FinTech,Ahmedabad,"Fullerton Financial Holdings Pte Ltd (FFH) and Bertelsmann India Investments, Sistema Asia Fund and India Quotient. 
",Series D,"4,20,00,000"
105,21-05-2020,No Worry No Tension Healthcare (NWNT),Healthcare,New Delhi,"Amit Burman, Chairman of Dabur India,
",Pre Series A,NA
106,05-05-2020,"Classplus

",EduTech,Noida,"RTP Global, lume Ventures, Sequoia Capital India's Surge, Spiral Ventures, and Strive.",Series A,"90,00,000"
107,11-05-2020,Nykaa,E-commerce,Mumbai,Steadview Capital,Series F,"88,00,000"
108,13-05-2020,Magicpin,E-commerce,Gurugram,"Lightspeed Venture Partners, along with the participation of Moonstone Investments, WaterBridge Venture, The Bunting Family Private Fund, and Srivatsan Rajan
",Series C,"40,00,000"
109,18-05-2020,LetsTransport,Logistics Solution Provider,Bangalore,InnoVen Capital,Venture - Series Unknown,"17,00,000"
110,09-04-2020,Vedantu,EduTech,Bengaluru,Legend Capital,Series C1,"1,25,60,000"
111,06-04-2020,Swiggy,Online Food Delivery,Bengaluru,"Tencent, Ark Impact, Korea Investment Partners, Samsung Ventures, and Mirae Asset Capital Markets
",Series 1,"43,000,000
"
112,08-04-2020,"Zupee
",Gaming,Gurugram,"Matrix Partners India, Falcon Edge Capital, WestCap Group, Orios Venture Partners and Smile Group

",Series A,"80,00,000"
113,07-04-2020,DeHaat,AgriTech,Patna,"Sequoia Capital India, FMO, Omnivore and AgFunder.",Series A,"1,20,00,000"
114,15-04-2020,"BigBasket
",E-commerce,Bengaluru,Alibaba Group,Debt Financing,"5,00,00,000"
115,08-04-2020,Fingerlix,Food Delivery,Mumbai,"Accel, Zephyr Peacock, Swiggy, and RB Investments
",Series C,"18,00,000"
116,31-03-2020,"Nykaa

",E-commerce,Mumbai, Steadview Capital,Series F,"1,30,00,000"
117,02-04-2020,Recko,Digital Reconcilation and Financial Services,Bengaluru,Vertex Ventures Southeast Asia and India and Prime Venture Partners,Series A,"60,00,000"
118,04-03-2020,Soxytoes,E-commerce,Noida,Angel Networks,Angel,NA
119,02-03-2020,Chqbook.com,Finance,Gurugram,Aavishkaar Capital,Series A,"5,000,000
"
120,06-03-2020,"Paperboat
",E-commerce,Bengaluru,"Advent Management, A91 Emerging Fund, and Trifecta Venture.

",Debt Financing,"40,00,000"
121,13-03-2020,CollegeKhabri,EduTech,Bhopal,Vdiec Global,Angel,NA
122,12-03-2020,"FamPay
",Finance,Bengaluru,"Y Combinator, Venture Highway, Sequoia India, and GFC (Global Founders Capital). ",Seed,"47,00,000"
123,12-03-2020,MultiLiving,Real Estate,Mumbai,Lodha Ventures,Series A,"60,00,000"
124,12-03-2020,"Ola Electric
",Transport,Bengaluru,Pawan Munjal Family Trust,Series B,"10,00,000"
125,12-03-2020,Mera Kisan ,Food Production,Pune,Ajinkya Rahane,Private Equity,NA
126,03-02-2020,1mg,E-commerce,Gurugram,Bill & Melinda Gates Foundation ,Venture Series,"1,00,00,000"
127,03-02-2020,RACEnergy,Transportation,Hyderabad,GrowX Ventures,Seed,"NA
"
128,31-01-2020,"Adonmo
",Advertising,Hyderabad,BAce Capital,Pre-Series A,"30,00,000"
129,31-01-2020,DoubtNut,Education,Gurugram,Tencent Holdings,Series A,"1,50,00,000"
130,30-01-2020,MultiplyMyLeads,Real Estate,New Delhi,Frontline Strategy Funds and SucSEED Venture Partners.,Venture Series,NA
131,03-02-2020,Embibe,EduTech,Mumbai,Reliance Industries Limited (RIL),Venture Series,"1,26,25,020"
132,10-02-2020,"FirstCry
",E-commerce,Pune,Softbank Vision Fund,Series E,"29,60,00,000"
133,10-02-2020,Pepperfry,E-commerce,Mumbai,Pidilite Industries,Series F,"3,70,00,000"
134,18-02-2020,MaxWholesale,E-commerce,New Delhi,IAN Fund and Al Falaj Investment Co,Series A,"30,00,000"
135,06-02-2020,Dot,Information Technology and Services,Gurgaon,PayU and Fosun RZ Capital,Seed,"80,00,000"
136,05-02-2020,AlphaVector,Transport,Mumbai,Avaana Capital and Titan Capital,Venture Series ,NA
137,05-02-2020,WizKlub,EduTech,Bangalore,Incubate Fund India and Insitor Impact Asia Fund,Seed,"10,00,000"
138,14-02-2020,Friyey,Co-working Spaces,Pune,Tarun Bhalla,Seed,NA
139,14-02-2020,Simsim,E-commerce,New Delhi,Accel Partners,Series B,"80,00,000"
140,11-02-2020,Moengage,Intelligent Marketing Cloud,San Francisco/ Bangalore,Eight Roads Ventures,Series C,"2,50,00,000"
141,11-02-2020,Chaayos,Cafe,New Delhi,"Think Investment, Tiger Global, SAIF Partners, Integrated Capital and Neeraj Arora and Innoven Capital

",Series B,"2,15,00,000"
142,19-02-2020,Unacademy,EduTech,Bangalore,"General Atlantic, Sequoia Capital India, and Facebook",Series D,"11,00,00,000"
143,09-01-2020,BYJU'S,E-Tech,Bengaluru,Tiger Global Management,Private Equity Round,"20,00,00,000"
144,13-01-2020,Shuttl,Transportation,Gurgaon,Susquehanna Growth Equity,Series C,"80,48,394"
145,09-01-2020,Mamaearth,E-commerce,Bengaluru,Sequoia Capital India,Series B,"1,83,58,860"
146,02-01-2020,https://www.wealthbucket.in/,FinTech,New Delhi,Vinod Khatumal,Pre-series A,"30,00,000"
147,02-01-2020,Fashor,Fashion and Apparel,Mumbai,Sprout Venture Partners,Seed Round,"18,00,000"
148,13-01-2020,Pando,Logistics,Chennai,Chiratae Ventures,Series A,"90,00,000"
149,10-01-2020,Zomato,Hospitality,Gurgaon,Ant Financial,Private Equity Round,"15,00,00,000"
150,12-12-2019,Ecozen,Technology,Pune,Sathguru Catalyzer Advisors,Series A,"60,00,000"
151,06-12-2019,CarDekho,E-Commerce,Gurgaon,Ping An Global Voyager Fund,Series D,"7,00,00,000"
152,03-12-2019,Dhruva Space,Aerospace,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,"5,00,00,000"
153,13-12-2019,Rivigo,Technology,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,"2,00,00,000"
154,17-12-2019,Healthians,B2B-focused foodtech startup,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,"1,20,00,000"
155,16-12-2019,Licious,E-Commerce,Bengaluru,Vertex Growth Fund,Series E,"3,00,00,000"
156,16-12-2019,InCred,Finance,Mumbai,,Debt Funding,"59,00,000"
157,14-12-2019,Trell,Video,Bengaluru,Ruizheng Investment,Seed Round,"20,00,000"
158,11-12-2019,Rein Games,Gaming,Noida,Manipal Education and Medical Group (MEMG),Seed Round,"5,00,00,000"
159,20-12-2019,Lenskart.com,E-Commerce,Faridabad,SoftBank Vision Fund,Series G,"23,10,00,000"
160,13-11-2019,Freshworks,Software,San Francisco,"Sequoia, CapitalG, Accel",Series H,"15,00,00,000"
161,14-11-2019,Misters,Health and wellness,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,"4,86,000"
162,13-11-2019,Sunstone Eduversity Pvt. Ltd,Education,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,"15,00,000"
163,17-11-2019,Burger Singh,Food and Beverage,Gurgaon,RB Investments,Venture,undisclosed
164,18-11-2019,Healthians,Health and Wellness,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,"1,20,00,000"
165,15-11-2019,Ninjacart,B2B Marketing,Bengaluru,Trifecta Capital Advisors,Debt Funding,"2,60,00,000"
